"","log.ecis","ecisL","ecisH","log.rHy","rHyL","rhyH","B.log.ecis","B.ecisL","B.ecisH","rowMeans(exph[, -1])","geneN"
"13",-2.71425306524677,-2.91879922043633,-2.51659824954035,0,NA,14.4966624801333,-2.71425419457226,-2.91879328412835,-2.5165927394785,51.475,"SPO21"
"14",2.70961505036638,2.3071358191413,3.10804906402042,15.9653759126358,11.7556294983143,17.7107037823679,2.70801156081839,2.44032134649346,2.98844034690414,27.35,"YHL044W"
"15",2.66899769334142,2.59048923932614,2.74726568482846,11.2649798272089,7.49546720155019,12.9663203402435,2.66912383241429,2.615628001329,2.72310564875894,706.925,"YCL049C"
"16",2.49164294673145,2.21257788608794,2.78238334444218,12.9491877688456,NA,16.3866023601165,2.4899798014602,2.24012169154727,2.7503219848302,28.075,"FHN1"
"17",-2.42439485365022,-2.59067287061878,-2.26944158309516,3.07602868477259,NA,6.74498403974057,-2.42438112486857,-2.58310879005705,-2.26955310242797,74.9,"FDC1"
"18",2.41014507566774,2.19306881176835,2.62084371363742,15.382448055523,14.496754814504,16.460107366725,2.37546948154528,2.33750332333533,2.41366238343934,1192.675,"SWP1"
"19",2.38359797236638,2.22507539502923,2.5461666831019,0,NA,14.0382662673516,2.3835979441547,2.2250738274464,2.54616060177705,68.425,"YBR013C"
"20",-2.36972460958892,-2.70591848715295,-2.05033897739138,0.243012357673331,NA,15.5522790520592,-2.36972452080545,-2.70591450474557,-2.0503239767575,16.475,"MIP6"
"21",-2.32159555283395,-2.46095086687482,-2.17920098747818,14.2555335334317,13.3928777267222,15.3198317228078,-2.32684643548245,-2.34176030439384,-2.31196684832833,7237.875,"RPS20"
"22",-2.3037790864841,-2.64302254716437,-1.96719275152979,15.0725930971826,NA,17.2957020111917,-2.30405556549652,-2.57554331272699,-2.04342442397742,23.8,"ECM13"
"23",-2.2847589409529,-2.34114549163309,-2.22991278027834,9.73075570225566,NA,12.0736771247499,-2.28341926821831,-2.32808217166734,-2.23905860107059,823.375,"MMP1"
"24",-2.23480701783974,-2.7612441463593,-1.7128474354147,16.1427551395617,NA,18.7868819453353,-2.24336859715802,-2.67705326416464,-1.83628573881764,9,"FUS1"
"25",-2.18539852909057,-2.37862497264085,-1.99107745874047,6.8757763368094,NA,12.8633696446381,-2.18543802851172,-2.37233944048881,-2.00356695082366,47.85,"SUL1"
"26",-2.17249946013004,-2.39049613739611,-1.95396720098979,15.167043680025,13.742513623741,16.5018832684364,-2.15164167996652,-2.26166813588783,-2.04335948088099,131.6,"PXP2"
"27",2.16060124260832,2.03542255649459,2.28409195620333,13.7926519702187,12.7310756066795,14.9706471532563,2.15968541121565,2.11517185665731,2.20449118049561,796.475,"SKN7"
"28",2.15865363386306,2.06356787336756,2.25477514650652,12.0624280014676,NA,13.8561604508011,2.1562695064554,2.0887025198985,2.22451129144378,341.875,"DMA1"
"29",-2.15522408130179,-2.86212093591337,-1.47035172277064,17.7643537398008,NA,19.9430942502614,-2.14712013225096,-2.65480311525051,-1.67449504794765,6.3,"YDR215C"
"30",-2.12413183390994,-2.40346857586482,-1.85292004308424,13.2058194021878,NA,16.725643933375,-2.12313281584263,-2.36792038091789,-1.88673431007969,26.8,"FRM2"
"31",-2.09955034265771,-2.19192056403985,-2.00839336338423,0,NA,12.6713006439629,-2.09955062800559,-2.19191521960956,-2.00839727039431,187.15,"SSU1"
